sep=,
"flag","Vessel Name","registeredOwner","callSign","MMSI","imo","shipType","destination","eta","navigationStatus","Latitude","Longitude","age","timeOfFix"
"Singapore","NAVEGANTES EXPRESS","Wan Hai Lines Singapore Pte","9V6819","563105800","9793935","7-Cargo","Brssz-sgsin","8270600","0-Underway(Engine)","-13.108258","47.807225","2m34s","2025-08-19T05:47:55.000Z"
"Singapore","FRANZISKA SCHULTE","Telok Ayer Park Shipping Co","9V8684","563192100","9709245","7-Cargo","Muplu","8210900","0-Underway(Engine)","-25.431553","47.909778","20m44s","2025-08-19T05:29:45.000Z"
"Singapore","Chola Destiny","null","9VNL7","563203900","9362255","7-Cargo","Paradip            !","9032000","0-Underway(Engine)","-27.475192","42.038097","18m20s","2025-08-19T05:32:09.000Z"
"Singapore","XINHUI EXPRESS","Xinhui Express Pte Ltd","9V8905","563212900","9497373","7-Cargo","Br Ssz","9051800","0-Underway(Engine)","-26.620683","45.91004","17m42s","2025-08-19T05:32:47.000Z"
"Singapore","CHINA ACE","China Ace Shipping Pte Ltd","9V7168","563220800","9957634","7-Cargo","Thmat>gnbrp","9071200","0-Underway(Engine)","-23.3449","50.98328","56s","2025-08-19T05:49:33.000Z"
"Singapore","PHOENIX","Rum Shipping Pte Ltd","9V9983","563232600","9553232","7-Cargo","Mg Toa","6250600","5-Moored","-18.153457","49.426405","7m00s","2025-08-19T05:43:29.000Z"
"Singapore","IVS ATSUGI","IVS Bulk 10910 Pte Ltd","9VA40","563244100","9838527","7-Cargo","Mg Toa","8090800","5-Moored","-18.15333","49.423847","2m35s","2025-08-19T05:47:54.000Z"
"Singapore","WINNING CONFIDENCE","Winning Confidence Shpg Pte","9V9664","566311000","9325001","7-Cargo","Port De Boke","9040300","0-Underway(Engine)","-26.30496","46.656472","3m09s","2025-08-19T05:47:20.000Z"
"Singapore","CSK UNITY","Nice Ocean Navigation Pte Ltd","9V3127","566365000","9727314","7-Cargo","Br Ssz>tw Khh","9100800","0-Underway(Engine)","-25.091337","49.806342","1m09s","2025-08-19T05:49:20.000Z"
"Singapore","APL TEMASEK","CMA CGM Asia Pacific Liner","S6LT9","566796000","9631955","7-Cargo","Myptm","9030900","0-Underway(Engine)","-27.880022","43.73085","21m20s","2025-08-19T05:29:09.000Z"
"Singapore","APL MIAMI","CMA CGM Asia Pacific Liner","9V9922","566957000","9597549","7-Cargo","Sgsin","8291800","0-Underway(Engine)","-24.552515","51.069212","1m08s","2025-08-19T05:49:21.000Z"
"Liberia","MSC CAGLIARI IV","Chloe Navigation Ltd-LIB","A8KW9","636013143","9318187","7-Cargo","Singapore","8301300","0-Underway(Engine)","-14.238032","46.14922","1m27s","2025-08-19T05:49:02.000Z"
"Liberia","OCEAN LION","Felice Navigation Inc","A8UK7","636014514","9296248","7-Cargo","Sg Sin","9040400","0-Underway(Engine)","-25.46875","47.551833","18m20s","2025-08-19T05:32:09.000Z"
"Liberia","SHAGANG HAILI","Seno Kisen/Erica Navigation","A8ZX5","636015314","9595424","7-Cargo","Gnbrp","9051200","0-Underway(Engine)","-27.14751","43.331363","57s","2025-08-19T05:49:32.000Z"
